cid,MP
643820,"['<-15 °C', 'Crystals; mp: 118 °C /Nerol tetrabromide/', 'Needles from petroleum ether; mp: 84-86 °C /Nerol allophanate/', '< -15 °C']"
8363,"['75 °F (NTP, 1992)', '24 °C', '23.4 °C']"
8606,"['352 °F (NTP, 1992)', '172.5 °C', 'Colorless to beige amorphous solid with a pungent odor. MP: 175-178 °C /Technical grade/', 'No melting point; decomposes at 178 °C', '352 °F', '352 °F (Decomposes)']"
7871,"['-71 °F (EPA, 1998)', '-57 °C']"
5365371,['75-80 °C']
34192,['3.3 °C']
2733,"['191-191.5', '191.5 °C']"
3033,"['283-285 °C', '156-158 °C', '283 - 285 °C']"
31250,"['40 °C', '43 - 44 °C']"
2369,"['70-72 °C', '70 - 72 °C']"
4440,"['246 °C (HCl salt)', '246 °C (hydrochloride salt)']"
13842,['111 °C']
36392,['42-43 °C']
10911,['-3 °C']
31307,"['270', '269-271 °C', '274 - 278 °C']"
11,"['-31.5 °F (NTP, 1992)', '-35.5 °C', '-35.6 °C', '-35.3 °C', '-35.7 °C', '-32 °F', '-32 °F']"
7342,['-88.2 °C']
5453,"['124.7 °F (NTP, 1992)', '51.5 °C', '51.5 °C']"
9385,"['-107 °C', '-107 °C']"
11370,['106 °C']
644020,['30.5 °C']
17531,"['127 °F (EPA, 1998)', '53 °C']"
12983,['< -50 °C']
11756,['112 - 114 °C']
6899,"['154 to 156 °F (NTP, 1992)', '68.5 °C']"
9868,['-111.8 °C']
11429,"['-50 °C', '-114 °C']"
2712,['236-236.5 °C']
6500,"['-58 °F (EPA, 1998)', '-50 °C']"
25419,"['250 °C', '250 °C']"
7290,"['-40 °F (NTP, 1992)', '-40 °C']"
7204,"['118-119 °C', 'Melting point: 115-117 °C /technical grade MCPA/', '113-119 °C']"
7931,"['-54 °F (NTP, 1992)']"
54454,"['135-138 °C', '135-138 °C', '135 - 138 °C']"
26987,"['178 °C (hydrogen fumarate formulation)', '178 °C (hydrogen fumarate formulation)']"
7541,"['318 to 320 °F (NTP, 1992)', '159-160 °C']"
8121,"['-24 °F (NTP, 1992)', '-31 °C']"
8299,['-17 °C']
2256,"['347 to 351 °F (NTP, 1992)', '177.0 °C', '173 °C', '173-177 °C', '340 °F', '340 °F']"
8067,"['-105 °F (USCG, 1999)', '-75.69 °C', 'Liquid molar volume = 0.124405 cu m/kmol. Heat of formation = -1.0979X10+8 J/kmol. Heat of fusion = 1.7531X10+7 J/kmol at melting point.', '-75.7 °C', '-75.7 °C', '-104 °F']"
11641,"['-219.1 °F (NTP, 1992)', '-137.8 °C', '-139.5 °C', '-219 °F', '-219 °F']"
6384,"['-267 °F (NIOSH, 2023)', '-172 °C', '-168 °C', '-267 °F', '-267 °F']"
5755,"['235 °C', '235 °C with some decomposition', 'CRYSTALS FROM ETHANOL; MP: 266-273 °C /TEBUTATE/', '235 °C']"
11734,"['-12.1 °C', '-12 °C']"
3440,"['403 °F (decomposes) (NTP, 1992)', '220', '206 °C', '295 °C']"
5053,"['56.5 °C (pure (1-RS)-trans isomer)', 'Mp: 43-48 °C (isomeric mixture with 20-30% cis and 80-70% trans)', '43-48 °C']"
9024,['30 °C']
7595,"['460 °F (NTP, 1992)', '238 °C', '239 - 240 °C']"
8190,"['-1.7 °F (USCG, 1999)', '-18.7 °C', '-19 °C']"
1989,"['370 to 374 °F (NTP, 1992)', '188-190 °C', '188-190 °C', '188 - 190 °C']"
2789,"['182-185ºC', '166-168 °C', 'MP: 182-185 °C']"
7271,"['154 °F (NTP, 1992)', '67 °C', '67 °C']"
14257,"['-14.1 °F (NTP, 1992)', '-25.54 °C', '-26.00 °C. @ 760.00 mm Hg']"
7344,"['-26 °C', '-26.00 °C. @ 760.00 mm Hg']"
6579,"['184 °F (EPA, 1998)', '84.5 °C', '84.5 °C', '84.5 °C', '184 °F', '184 °F']"
5328,"['406 °F (NTP, 1992)', '208 °C', '210 °C', '208 °C']"
12560,"['212 to 219 °F (NTP, 1992)', '133-135', '191 °C', 'After melting /at 135-140 °C, it/ resolidifies with second melting point 190-193 °C. ... Readily forms salts with acids', 'MP: 92 °C. Slightly soluble in ethanol, ethyl ether, chloroform; insoluble in water. /Erythromycin stearate/', 'Crystals from acetone aqueous. MP: 222 °C. MW: 862.05.  /Erythromycin ethyl succinate/', '191 °C']"
3559,"['148', '151.5 °C', '151.5 °C']"
4169,"['-62.1 °C', '-62.1 °C']"
2871,"['196 °F (EPA, 1998)', '95.2 °C', 'MP: 90-92 °C (technical coumaphos)', '91 °C', '196 °F']"
8663,"['121.6 °C', '123 °C', '122 °C']"
7419,['173 °C']
11505,"['138 to 142 °F (NTP, 1992)', '61.5 °C', '61 - 62 °C']"
15529,['155-157 °C']
24798,"['1098 °F (USCG, 1999)', '590 °C', '590 °C']"
86356,['77.5-80 °C']
135398641,"['218 dec °C', '218 °C']"
6393,"['-183.582 °C', '-183.6 °C']"
17721,['79 °C']
7945,['-99.3 °C']
137994,['71.5 °C']
6128,"['158 °C', '173-174 °C (crystals from hexane)', 'Melting point: 143 °C (alpha form), 173 (beta form)', 'Melting point: 172 °C, OECD Guideline 102 (Melting point / Melting Range)', '170 - 173 °C']"
10967,"['-42.7 °F (EPA, 1998)', '-41.5 °C', '-42 °C', '-43 °F']"
31285,"['-115 °F (USCG, 1999)', '-81.3 °C', '-88 °C']"
7150,"['10 °F (NTP, 1992)', '-12.35 °C', '-12.3 °C', '-12 °C']"
8467,"['171 to 172 °F (NTP, 1992)', '76.7 °C', '76 - 78 °C']"
5362065,"['218-225 °C', '218 - 225 °C']"
6295,"['140 to 142 °F (pure) (NTP, 1992)', '56 °C', 'A wax. Melting point is greater than or equal to 40 °C. /Technical product/']"
17435,['17 TO 18 °C']
2966,"['278-280 °C', '278 - 280 °C']"
2346,['41 °C']
7041,['55 - 56 °C']
36613,"['394 to 396 °F (NTP, 1992)', '209-210 °C']"
11161,['246 °C']
7361,"['-24 °F (NTP, 1992)', '-14.6 °C', '-31 °C', '-31 °C', '-24 °F', '6 °F']"
7505,"['9 °F (NTP, 1992)', '-12.82 °C', '-12.8 °C']"
6616,"['122 °F (USCG, 1999)', '52 °C', 'Melting point: 46 °C /Technical product/', 'Melting point: 51.5 °C; specific gravity: 0.879 @ 20 °C/4 °C /dl-Form/', '46 °C']"
4921319,"['336 °F (NTP, 1992)', '169 °C']"
6553,"['-67.4 °F (NTP, 1992)', '-55.49 °C']"
47866,"['224.9 °C', '219 - 222 °C']"
8723,['FREEZING POINT: LESS THAN -70 °C']
12932,"['38.4 °C', '34 °C']"
24066,"['410 to 417 °F (NTP, 1992)', '217-218 °C', '215-217 °C; also reported as 209-210 °C', '210 - 214 °C']"
637929,['Melting point: -6.5 °C /Trans-isomer/']
643792,['14.6 °C']
5735,"['178 °C', '178 °C']"
5584,"['45 °C', '45 °C']"
5977,"['99', '97 °C', 'MP: 77 °C (HYDRATE); HYGROSCOPIC', 'MP: 97 °C /anhydrous form/; MP: 78 °C /hemihydrate/']"
86472,"['82 °F (NTP, 1992)', '10 degrees Celcius']"
992,"['376 °F (NTP, 1992)', '174 °C', '174 °C', '191 °C', '374 °F', '374 °F']"
7232,['93-100 °C']
33624,"['202-203', '71.5-72.5 °C']"
10795,"['-113.2 °C', '-113.2 °C']"
518533,['350 ° C (Sublimes)']
224478,['848.2 °C']
7101,"['196.2 °F (NTP, 1992)']"
12064,['64.5 °C']
10947,['8.60 °C. @ 760.00 mm Hg']
4096,"['112 °F (EPA, 1998)', '44.9 °C', 'MP: 20-25 °C /Technical/', 'Melting point: 39-41 °C.', '44 °C']"
8263,['-41.4 °C']
3571576,['195']
91664,"['79-79.5 °C', 'MP: 75-80 °C']"
3158,"['185-191 ºC', 'Crystals, melting point 184 to 186 °C, 188 to 189 °C (a cis-trans mixture of approx 1:5) /HYDROCHLORIDE/', 'Crystals, melting point 161 to 164 °C, 168 to 169 °C /MALEATE/', 'Melting point 192 to 193 °C /trans-HYDROCHLORIDE/', 'Crystals, melting point 209 to 210.5 °C /cis-HYDROCHLORIDE/', '184 - 186 °C']"
586,"['255 dec °C', 'Decomposes at 303 °C', '303 °C']"
11568,"['253 to 259 °F (NTP, 1992)', '123 °C']"
51605,['53-54 °C']
7385,"['greater than 572 °F (decomposes) (NTP, 1992)']"
8114,"['-122 °C', '-122 °C']"
2788,"['352 to 354 °F (NTP, 1992)', '178.5 °C', '178-179 °C']"
6562,"['-81 °C', '-81 °C']"
7997,"['-139 °F (USCG, 1999)', '-93 °C', '-93 °C', '-93 °C', '-92 °C', '-134 °F', '-134 °F']"
14242,['-42.5 °C']
9904,"['112 and 124 °C', 'Needles from 75% alcohol; mp: 174-175 °C; specific optical rotation (alcohol): +104.5 deg at 20 °C/D /Benzoate/', 'Small, elongated prisms from petroleum ether; mp: 88-89 °C; specific optical rotation: +50 deg at 20 °C/D (c= 0.5 g/100 ml in chloroform) /cyclohexanecarboxylate/', 'Fine, white to creamy white, crystalline powder; soluble in acetone, chloroform, alcohol, vegetable oils; insoluble in water; odorless or may have slight odor; mp: 33-37 °C /Decanoate/', 'Fine, white to creamy white, crystalline powder; soluble in chloroform, alcohol, dioxane, ether, vegetable oils; insoluble in water; having slight characteristic odor; mp: 95-99 °C /Phenpropionate/', '118 °C']"
7975,"['-94 °F (NTP, 1992)', '-66.65 °C', '-70 °C']"
10788,"['248 °F (decomposes) (NTP, 1992)', '106 °C']"
101525,['194.8-197.4 °C (decomposition)']
7542,['113 °C']
8207,"['32.5 °C', 'Heat Fusion at Melting point = 4.5120X10+7 J/kmol (for the beta form)', '32.00 to 33.00 °C. @ 760.00 mm Hg', '30-32 °C']"
8150,"['-90 °F (NTP, 1992)', '-68 °C', '-68 °C']"
8010,"['90 °F (EPA, 1998)', '32 °C', '30-34 °C', '90 °F']"
338,"['315 °F (USCG, 1999)', '158 °C', 'Melting point equals 315 °F', '159 °C', '158 °C', '159 °C']"
16945,"['905 °F (decomposes) (NTP, 1992)', '485 °C (decomposes)']"
2682,"['49.3', '49.3 °C', '49.3 °C']"
4409,['78-82']
7802,"['-38 °F (USCG, 1999)', '-39 °C', '-39 °C', '-39 °C', '-38 °F', '-38 °F']"
5870,"['258-261 °C', '260.2 °C', 'Crystals from acetone; mp: 251-254 °C /dl-Estrone/', 'MP: 134-135 °C /Estrone propionate/', '258 - 260 °C', '489.2 °F']"
6554,"['-169.4 °F (USCG, 1999)', '-112 °C']"
1982,"['82-89 °C /Technical grade 82-90% purity/', '92-93 °C']"
5839,"['166.5 °C', '166.5 °C']"
11080,"['136 °F (NTP, 1992)']"
42586,"['71-72 °C', '71 - 72 °C', '159.8-161.6 °F']"
5781,"['256 °C (decomposes)', '256 °C']"
60846,"['116-117 °C', '116-117 °C', '116 - 117 °C']"
7276,"['-35 °F (NTP, 1992)', '-35.6 °C', '-36.7 °C', '-35 °F']"
4931,"['77 °C', 'Decomp temp: 170 °C']"
8074,"['-94.5 °F (NTP, 1992)', '-70.3 °C']"
12348,"['less than -148 °F (USCG, 1999)', '-70.8 °C', '-70.8 °C', '-71 °C', '-95 °F', '-95 °F']"
6264,"['81.5 to 86.0 °F (NTP, 1992)', '25.8 °C']"
7470,"['356 to 360 °F (NTP, 1992)', '181 °C']"
2950,"['379 °F (NTP, 1992)', '193 °C', '193 °C', '193 °C']"
31401,"['200-205', '203 °C']"
3485262,"['482 °F (NTP, 1992)', '246 °C', 'MP: 250 °C (crystals); 148 °C (dust).', 'MP: 240-244 °C /Technical/', '240-250 °C']"
8008,"['-171 °F (USCG, 1999)', '-112 °C', '-112 °C', '-170 °F']"
9985,"['SOLIDIFIES AROUND -2 °C', '-2 °C']"
7903,"['-162 °F (NTP, 1992)', '-104.3 °C', '-108 °C', '-162 °F', '-162 °F']"
657298,"['426 to 430 °F (NTP, 1992)', '219 °C', '219-221 °C', '219 °C']"
5356793,['301 °C']
6736,"['95 °C', '97.5 °C']"
243274,['95-97 °C']
2337,"['92 °C', '92 °C', '92 °C']"
6895,"['126.7 °F (NTP, 1992)', '51.3 °C', '53.5 °C']"
9782,"['178°C', '231-234 °C, decomposes', '231 - 234 °C']"
5184,"['59 °C', 'White powder; mp: about 80 °C; specific rotation: -14 deg at 20 °C/D (water) /N-oxide/']"
73864,['159- 162 °C']
11335,"['120 °F (NTP, 1992)', '49 °C (also reported as 45.62 °C)', '49 °C']"
7354,"['less than -58 °F (NTP, 1992)', 'freezing point: less than -75 °C', '-50 °C']"
3025,"['99-101 °C (HCl salt)', '64 °C', 'Melting point: 62-65 °C', '99 - 101 °C (hydrochloride salt)']"
6288,"['256 dec °C', '256 °C (decomposes)', 'MP: 228-229 °C with decomposition (dl-threonine); 255-275 °C with decomposition (l(-)-threonine) (naturally occurring); 250-252 °C (dl-allo-threonine)', '256 °C']"
6626,['240.5 °C']
3059,"['210-211', '210 - 221 °C']"
12902,['131 °C']
5238,"['651', '651 °C', '660 °C']"
7239,"['1 °F (NTP, 1992)', '-16.7 °C', '-17 °C', '1 °F', '1 °F']"
6278,"['-26.5 °F (NTP, 1992)', '-30 °C', '-30.4 °C', '-30 °C', '-26.5 °F', '-23 °F']"
8105,['-18 °C']
6327114,['29 °C']
4510,"['56 °F (NIOSH, 2023)', '13.5', 'Crystalizes in 2 forms: labile form, 2.8 °C; stable form, 13.5 °C', '13.5 °C', '13.5 °C', '56 °F', '56 °F']"
26597,['103 °C']
7767,"['-6 °F (NTP, 1992)', '-21 °C', '-21 °C']"
18320,"['-33 °F (NTP, 1992)']"
8371,"['552 °F (decomposes) (NTP, 1992)', '292 °C (SEALED TUBE)', '290 °C']"
7351,"['-113.3 °F (USCG, 1999)', '-80.66 °C', '-81 °C', '-113.3 °F']"
7452,"['194 °F (NTP, 1992)', '89-90 °C', '90 °C', '192 °F']"
10472,['77 °C']
4737,"['129.5 °C', '130 °C', '129.5 °C']"
7175,"['203 to 208 °F (NTP, 1992)', '96.1 °C', '96 - 97 °C']"
7861,"['-188 °F (USCG, 1999)', '-122 °C']"
25485,"['-117 °F (USCG, 1999)', '-80 °C', '-112 °F']"
6249,"['208 dec °C', '202 °C, with decomposition', '208 °C']"
445354,"['144 to 147 °F (NTP, 1992)', '63.5 °C', '62-64 °C', 'Pale yellow prismatic crystals from methanol; mp: 57-58 °C; UV max (ethanol): 326 nm (E=1,550, 1%, 1 cm) /Retinol acetate/', 'Amorphous or crystalline; mp: 28-29 °C; UV max (ethanol); 325-328 nm (E=975, 1%, 1 cm) /Retinol palmitate/', '61 - 63 °C']"
240,"['-15 °F (NTP, 1992)', '-57.12 °C', '-26 °C', '-26 °C']"
14834,"['400 °C, decomposes']"
8271,"['176 °C', '176 °C', '176 °C']"
387447,['139-143']
24685,['90 °C']
14855,"['118 to 124 °F (NTP, 1992)', '51 °C', '46-50 °C']"
47811,"['207.5 °C', '207.5 °C']"
441199,"['165-167', '149.5 °C']"
11683,['218.0-220.0 °C']
10800,"['190 °F (NIOSH, 2023)', '86 °C', 'MP: 83-85 °C /Technical/', '87.5 °C']"
1712058,['80 °C']
8418,"['421 to 424 °F (NTP, 1992)', '216 °C', '218 °C', '421-424 °F']"
6604200,"['514 °F (decomposes) (NTP, 1992)', '223-228', '263 °C']"
3469,['199.5 °C']
5816,"['412 to 414 °F (NTP, 1992)', '211.5', '211.5 °C', 'MP: 211-212 °C, approximately 215 °C with decomposition when heated rapidly', '211.5 °C']"
6961,['276 °C']
13381,"['-87.3 °F (USCG, 1999)', '-66.3 °C', '-66 °C']"
6372,"['-231 °F (NIOSH, 2023)', '-157.42 °C', '-146 °C', '""-231 °F""', '-231 °F']"
11594,['-109 °C']
7250,"['61 °F (NTP, 1992)', '-14.3 °C', 'Prisms; boiling-point 255.1 °C at 760 mm Hg; melting point 235 °C; practically insoluble in cold water /2,4-xylidine hydrochloride/', '-16 °C']"
3696,"['174-175', '174.5 °C']"
8360,"['270 °F (NTP, 1992)', '132 °C', '270 °F', '270 °F']"
12306,['60 °C']
8908,"['-112 °F (USCG, 1999)', '-80.9 °C', '-81 °C']"
7242,"['2.7 °F (NTP, 1992)', '-14.41 °C', 'Melting point: -23.7 °C (alpha form); -14.7 °C (beta form)', '-16.3 °C', '-16 °C (beta-form)', '2.7 °F', '6 °F']"
736715,"['225 °C', '225 °C']"
68437,['102.5 °C']
11240,['-137.5 °C']
31288,"['-27 °F (USCG, 1999)', '-32 °C', '-32 °C', '-27 °F']"
11769,"['217 to 219 °F (NTP, 1992)', '103 °C']"
4253,['254 - 256.4 °C']
25429,"['576 to 585 °F (decomposes) (NTP, 1992)', 'Decomposes at 300 °C', 'MP: 302-307 °C (decomposes)', '302 - 307 °C']"
7443,"['109 °F (NTP, 1992)', '43 °C', 'Has both a stable and labile form. The stable alpha-form has a melting point of 42-43 °C and beta-form is a liquid which changes to the alpha-form at 15 °C', '39-41 °C']"
7761,"['-50 °C', '-50 °C', '-50 °C']"
17432,['22 °C']
8844,['-19.8 °C']
13450,['104 °C']
4914,"['61 °C', '61 °C', 'Slightly bitter taste; mp: 51 °C; needles from aq alcohol /Dihydrate/', '61 °C']"
20848,"['304 °F (USCG, 1999)', '151-152 °C']"
784,"['31.3 °F (NTP, 1992)', '31 to 40 °F for concentrations greater than 52% (EPA, 1998)', '-33', '-0.43 °C', '-0.43 °C', '-11 °C (90%), -39 °C (70%)', '12 °F', '12 °F']"
11937,"['460 to 466 °F (NTP, 1992)', '238-241 °C']"
1732,"['151 °F (NTP, 1992)', '67 °C', 'MP: 55.5 °C and 66 °C (ligroin) ... Volatile with steam', '66 °C']"
54678504,"['349 °F (EPA, 1998)', '172-176 °C', 'Yellowish crystals. MP: 166-172 °C /Technical/']"
60825,"['160-162 °C', '160-162 °C', '160 - 162 °C']"
1030,"['-76 °F (NTP, 1992)', '-60 °C', '-60 °C', '-59 °C', '-76 °F']"
10349,"['232 to 234 °F (NTP, 1992)']"
33360,"['70-72 °C', 'MP: 69-71 °C (technical grades)']"
7671,"['115.9 to 117.5 °F (NTP, 1992)', '46.6-47.5 °C']"
6336,['63 to 68 °C']
9737,"['-15.61 °F (EPA, 1998)', '-26.4 °C']"
14322,"['169 to 171 °F (EPA, 1998)', '76-77 °C']"
6564,"['-148 °F (NTP, 1992)', '-100.4 °C', '-100 °C', '-149 °F']"
7500,"['-139 °F (NTP, 1992)', '-94.95 °C', '-95 °C', '-139 °F', '-139 °F']"
6517,"['-121.9 °F (USCG, 1999)', '-82.5 °C', '-77 °C', '-117 °F', '-117 °F']"
7295,"['-26 °F (USCG, 1999)', '-32.3 °C', '-32.1 °C']"
7580,['25.4 °C']
3474,['165']
11776,"['176 °F (NTP, 1992)', '80.5 °C', '80 °C']"
9215,"['225 to 230 °F (NTP, 1992)', '111 °C; 106 °C (form a); 110 °C (form b)', '225-230 °F']"
5335,"['181 °C', '101 °C']"
5359,"['124.3 °C', '124.3 °C']"
12418,"['-94.4 °F (NTP, 1992)', '-70.2 °C', '-70.2 °C', '-94 °F']"
8171,['FP: -31.5 °C']
14300,['160.5 °C']
3589,"['203 to 205 °F (NTP, 1992)', '95-96 °C', '95-96 °C', '203 °F', '203 °F']"
5336,"['376 to 379 °F (NTP, 1992)', '192 °C', '192 °C']"
6227,"['50 °C', '50 °C']"
5284550,"['131- 134.6', '55-57 °C', 'MW: 331.91; crystals from ethanol-ether; mp:218-221 °C; UV max (methanol): 232,260, 309 nm (log E 4.41, 3.97, 3.53) /Hydrochloride/']"
9275,"['less than -76 °F (USCG, 1999)', '-50 °C', '-50 °C']"
8064,"['61 °F (NTP, 1992)', '20.1 °C', '20.43 °C', '20 °C']"
522524,"['Melting point: 235 °C, with decomposition']"
8058,"['-139 °F (NTP, 1992)', '-95.35 °C', '-93.5 °C', '-95 °C', '-139 °F', '-219 °F']"
8776,"['442 °F (decomposes) (NTP, 1992)', 'Decomposes @ 228 °C']"
8411,"['279 to 280 °F (NTP, 1992)', '137 °C', '137.5 °C', '279 °F', '279 °F']"
8800,"['338.9 to 340.7 °F (NTP, 1992)', '170.5-171.5 °C']"
8141,"['-60 °F (NTP, 1992)', '-53.47 °C', '-51 °C', '-51 °C', '-60 °F', '-60 °F']"
3295,"['188-190.5', '188-190.5 °C', '189 °C']"
18692,"['228 to 230 °F (NTP, 1992)', '113 °C']"
3357,['270 dec °C']
5360315,['712 °C (rapid heating)']
12530,"['44.5 °C', '44.5 °C']"
21330,['119.5 to 121.5 °C']
7937,"['-5.8 °C', '-6 °C']"
5342,"['136-137 °C', '136-137 °C', 'MELTING POINT: 130-133 °C /D-FORM, L-FORM/', '136 - 137 °C']"
10777,['88 °C']
39040,['187 - 188 °C']
6473,"['128.5 °C', '128.5 °C']"
447466,"['-105 °F (EPA, 1998)', '-101 °F (EPA, 1998)', '-69 °C', '-76.6 °C', '-69 °C', '-76.5 °C (trans), -69 °C (cis)', '-101 °F', '-101 °F']"
6762,['MP: 167-169 °C /DIMALEATE/']
28838,"['-105 °F (NTP, 1992)']"
9738,['65 °C']
4684,"['109.8 to 110.7 °F (NTP, 1992)', '42.8 °C', '43 °C']"
6101,"['221 °F (USCG, 1999)', '106-107 °C', '106-107 °C /ANHYDROUS/', 'MELTING POINT: 38 °C /METASTABLE FORM/', 'Melting point = 106 °C /monohydrate/; 93 °C /trihydrate/', '104.50 °C. @ 760.00 mm Hg', '106-107 °C']"
65015,['131.5 °C']
122903,['109-111 °C (SUBLIMES)']
89594,"['-110 °F (EPA, 1998)', '-79 °C', '-79 °C', '-79 °C', '-79 °C', '-110 °F', '-110 °F']"
29228,"['160 °F (NTP, 1992)']"
5284371,"['309 to 313 °F (after drying at 176 °F) (NTP, 1992)', '154-156', '157.5 °C', '157.5 °C']"
7868,"['-136.3 °F (USCG, 1999)', '-93.5 °C', '-93 °C']"
8449,"['113 °F (NTP, 1992)', '45 °C', '45.0 °C']"
5503,"['322 to 336 °F (with decomposition) (NTP, 1992)', '170-173 °C', '170-173 °C', '170 - 173 °C']"
16115,"['304 to 306 °F (EPA, 1998)', '151 °C']"
6560,"['-162 °F (NTP, 1992)', '-108 °C', '-108 °C', '-108 °C', '-162 °F', '-162 °F']"
31254,"['-40 °F (NTP, 1992)', '-5.4 °C', '-3.8 °C', '-3 °C']"
15088,['67.5 °C']
3948,"['239-240.5 °C', '239 - 240.5 °C']"
